path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
case.priorDiagnostics[].simpleVariants[].proteinChange,string,no,yes,,,HGVSp (Change at Protein Level). e.g. p.V600E,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].transcript.code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].transcript.display,string,no,yes,,,Representation defined by the system,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].transcript.system,string,yes,yes,,uri,Identity of the terminology system,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].transcript.version,string,no,yes,,,Version of the system - if relevant,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].variantTypes[].code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].variantTypes[].display,string,no,yes,,,Representation defined by the system,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].variantTypes[].system,string,yes,yes,,uri,Identity of the terminology system,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].variantTypes[].version,string,yes,yes,,,Version of the system - if relevant,,,,,TODO,
case.priorDiagnostics[].type,string,yes,yes,"exome, genomeLongRead, genomeShortRead, panel, single, array, karyotyping, other, none",,,,,,,TODO,
case.priorProcedures[].intention,string,no,yes,"K, P, S, X",,,procedure_occurrence,procedure_source_value + procedure_concept_id,OPS (source) -> SNOMED (standard),prior procedure; dates -> procedure_date,DRAFT,
case.priorProcedures[].substances[].code.code,string,no,yes,,,Symbol in syntax defined by the system,drug_exposure,drug_source_concept_id + drug_concept_id,ATC (source) -> RxNorm (standard),substance of prior therapy,DRAFT,
case.priorProcedures[].substances[].code.display,string,no,yes,,,Representation defined by the system,drug_exposure,drug_source_concept_id + drug_concept_id,ATC (source) -> RxNorm (standard),substance of prior therapy,DRAFT,
case.priorProcedures[].substances[].code.system,string,no,yes,,uri,Identity of the terminology system,drug_exposure,drug_source_concept_id + drug_concept_id,ATC (source) -> RxNorm (standard),substance of prior therapy,DRAFT,
case.priorProcedures[].substances[].code.version,string,no,yes,,,Version of the system - if relevant,drug_exposure,drug_source_concept_id + drug_concept_id,ATC (source) -> RxNorm (standard),substance of prior therapy,DRAFT,
case.priorProcedures[].substances[].name,string,no,yes,,,,drug_exposure,drug_source_concept_id + drug_concept_id,ATC (source) -> RxNorm (standard),substance of prior therapy,DRAFT,
case.priorProcedures[].terminationReasonOBDS,string,no,yes,"E, R, W, A, P, S, V, T, U",,,procedure_occurrence,procedure_source_value + procedure_concept_id,OPS (source) -> SNOMED (standard),prior procedure; dates -> procedure_date,DRAFT,
case.priorProcedures[].therapyEndDate,string,no,yes,,date,,procedure_occurrence,procedure_source_value + procedure_concept_id,OPS (source) -> SNOMED (standard),prior procedure; dates -> procedure_date,DRAFT,
case.priorProcedures[].therapyResponse,string,no,yes,"PD, SD, PR, CR",,,procedure_occurrence,procedure_source_value + procedure_concept_id,OPS (source) -> SNOMED (standard),prior procedure; dates -> procedure_date,DRAFT,
